tourist_id,segment_order,from_poi,to_poi,point_order,latitude,longitude,transport_mode
T001,1,Tiger Hill,Ghoom Monastery,0,27.007529,88.264059,walk
T001,1,Tiger Hill,Ghoom Monastery,1,27.007541,88.263895,walk
T001,1,Tiger Hill,Ghoom Monastery,2,27.007552,88.26375,walk
T001,1,Tiger Hill,Ghoom Monastery,3,27.007542,88.263513,walk
T001,1,Tiger Hill,Ghoom Monastery,4,27.007484,88.263305,walk
T001,1,Tiger Hill,Ghoom Monastery,5,27.007449,88.263166,walk
T001,1,Tiger Hill,Ghoom Monastery,6,27.007454,88.262925,walk
T001,1,Tiger Hill,Ghoom Monastery,7,27.007486,88.262649,walk
T001,1,Tiger Hill,Ghoom Monastery,8,27.007573,88.262239,walk
T001,1,Tiger Hill,Ghoom Monastery,9,27.007587,88.26195,walk
T001,1,Tiger Hill,Ghoom Monastery,10,27.007745,88.261569,walk
T001,1,Tiger Hill,Ghoom Monastery,11,27.007768,88.261389,walk
T001,1,Tiger Hill,Ghoom Monastery,12,27.007986,88.260901,walk
T001,1,Tiger Hill,Ghoom Monastery,13,27.00817,88.260696,walk
T001,1,Tiger Hill,Ghoom Monastery,14,27.008217,88.260554,walk
T001,1,Tiger Hill,Ghoom Monastery,15,27.008216,88.260424,walk
T001,1,Tiger Hill,Ghoom Monastery,16,27.008215,88.260309,walk
T001,1,Tiger Hill,Ghoom Monastery,17,27.008235,88.260186,walk
T001,1,Tiger Hill,Ghoom Monastery,18,27.008269,88.259823,walk
T001,1,Tiger Hill,Ghoom Monastery,19,27.008237,88.259583,walk
T001,1,Tiger Hill,Ghoom Monastery,20,27.008222,88.259549,walk
T001,1,Tiger Hill,Ghoom Monastery,21,27.008518,88.259238,walk
T001,1,Tiger Hill,Ghoom Monastery,22,27.008676,88.259065,walk
T001,1,Tiger Hill,Ghoom Monastery,23,27.008737,88.258914,walk
T001,1,Tiger Hill,Ghoom Monastery,24,27.008768,88.258866,walk
T001,1,Tiger Hill,Ghoom Monastery,25,27.008808,88.258842,walk
T001,1,Tiger Hill,Ghoom Monastery,26,27.008844,88.258814,walk
T001,1,Tiger Hill,Ghoom Monastery,27,27.008905,88.258831,walk
T001,1,Tiger Hill,Ghoom Monastery,28,27.009046,88.258799,walk
T001,1,Tiger Hill,Ghoom Monastery,29,27.009184,88.258768,walk
T001,1,Tiger Hill,Ghoom Monastery,30,27.009269,88.258744,walk
T001,1,Tiger Hill,Ghoom Monastery,31,27.00933,88.258692,walk
T001,1,Tiger Hill,Ghoom Monastery,32,27.009405,88.258605,walk
T001,1,Tiger Hill,Ghoom Monastery,33,27.009526,88.258443,walk
T001,1,Tiger Hill,Ghoom Monastery,34,27.009637,88.258288,walk
T001,1,Tiger Hill,Ghoom Monastery,35,27.0097,88.258228,walk
T001,1,Tiger Hill,Ghoom Monastery,36,27.009768,88.258196,walk
T001,1,Tiger Hill,Ghoom Monastery,37,27.009852,88.258211,walk
T001,1,Tiger Hill,Ghoom Monastery,38,27.009928,88.258239,walk
T001,1,Tiger Hill,Ghoom Monastery,39,27.010003,88.258224,walk
T001,1,Tiger Hill,Ghoom Monastery,40,27.010061,88.258185,walk
T001,1,Tiger Hill,Ghoom Monastery,41,27.010214,88.258011,walk
T001,1,Tiger Hill,Ghoom Monastery,42,27.010302,88.257976,walk
T001,1,Tiger Hill,Ghoom Monastery,43,27.010473,88.257975,walk
T001,1,Tiger Hill,Ghoom Monastery,44,27.010552,88.257975,walk
T001,1,Tiger Hill,Ghoom Monastery,45,27.010685,88.257983,walk
T001,1,Tiger Hill,Ghoom Monastery,46,27.01078,88.258017,walk
T001,1,Tiger Hill,Ghoom Monastery,47,27.010851,88.258026,walk
T001,1,Tiger Hill,Ghoom Monastery,48,27.010929,88.258011,walk
T001,1,Tiger Hill,Ghoom Monastery,49,27.010972,88.257966,walk
T001,1,Tiger Hill,Ghoom Monastery,50,27.011003,88.257897,walk
T001,1,Tiger Hill,Ghoom Monastery,51,27.011041,88.257821,walk
T001,1,Tiger Hill,Ghoom Monastery,52,27.011107,88.257747,walk
T001,1,Tiger Hill,Ghoom Monastery,53,27.011218,88.257734,walk
T001,1,Tiger Hill,Ghoom Monastery,54,27.01128,88.257749,walk
T001,1,Tiger Hill,Ghoom Monastery,55,27.011356,88.257784,walk
T001,1,Tiger Hill,Ghoom Monastery,56,27.011414,88.257764,walk
T001,1,Tiger Hill,Ghoom Monastery,57,27.011456,88.257722,walk
T001,1,Tiger Hill,Ghoom Monastery,58,27.011527,88.257635,walk
T001,1,Tiger Hill,Ghoom Monastery,59,27.011582,88.257603,walk
T001,1,Tiger Hill,Ghoom Monastery,60,27.011673,88.257588,walk
T001,1,Tiger Hill,Ghoom Monastery,61,27.011742,88.257527,walk
T001,1,Tiger Hill,Ghoom Monastery,62,27.011751,88.257449,walk
T001,1,Tiger Hill,Ghoom Monastery,63,27.011733,88.25736,walk
T001,1,Tiger Hill,Ghoom Monastery,64,27.011763,88.257276,walk
T001,1,Tiger Hill,Ghoom Monastery,65,27.011905,88.257192,walk
T001,1,Tiger Hill,Ghoom Monastery,66,27.01201,88.257174,walk
T001,1,Tiger Hill,Ghoom Monastery,67,27.012076,88.257237,walk
T001,1,Tiger Hill,Ghoom Monastery,68,27.012136,88.257343,walk
T001,1,Tiger Hill,Ghoom Monastery,69,27.012157,88.257431,walk
T001,1,Tiger Hill,Ghoom Monastery,70,27.012168,88.257553,walk
T001,1,Tiger Hill,Ghoom Monastery,71,27.012219,88.257588,walk
T001,1,Tiger Hill,Ghoom Monastery,72,27.012326,88.257583,walk
T001,1,Tiger Hill,Ghoom Monastery,73,27.012428,88.257637,walk
T001,1,Tiger Hill,Ghoom Monastery,74,27.012596,88.257846,walk
T001,1,Tiger Hill,Ghoom Monastery,75,27.012758,88.258018,walk
T001,1,Tiger Hill,Ghoom Monastery,76,27.012806,88.258068,walk
T001,1,Tiger Hill,Ghoom Monastery,77,27.012904,88.258078,walk
T001,1,Tiger Hill,Ghoom Monastery,78,27.013023,88.258073,walk
T001,1,Tiger Hill,Ghoom Monastery,79,27.013119,88.258042,walk
T001,1,Tiger Hill,Ghoom Monastery,80,27.013194,88.257982,walk
T001,1,Tiger Hill,Ghoom Monastery,81,27.013232,88.257885,walk
T001,1,Tiger Hill,Ghoom Monastery,82,27.013265,88.257752,walk
T001,1,Tiger Hill,Ghoom Monastery,83,27.013277,88.257677,walk
T001,1,Tiger Hill,Ghoom Monastery,84,27.013312,88.25761,walk
T001,1,Tiger Hill,Ghoom Monastery,85,27.0134,88.257547,walk
T001,1,Tiger Hill,Ghoom Monastery,86,27.013489,88.257517,walk
T001,1,Tiger Hill,Ghoom Monastery,87,27.013562,88.257561,walk
T001,1,Tiger Hill,Ghoom Monastery,88,27.013627,88.257636,walk
T001,1,Tiger Hill,Ghoom Monastery,89,27.013628,88.257708,walk
T001,1,Tiger Hill,Ghoom Monastery,90,27.013641,88.257767,walk
T001,1,Tiger Hill,Ghoom Monastery,91,27.013672,88.257821,walk
T001,1,Tiger Hill,Ghoom Monastery,92,27.013724,88.257843,walk
T001,1,Tiger Hill,Ghoom Monastery,93,27.013804,88.25784,walk
T001,1,Tiger Hill,Ghoom Monastery,94,27.013913,88.2578,walk
T001,1,Tiger Hill,Ghoom Monastery,95,27.013964,88.257762,walk
T001,1,Tiger Hill,Ghoom Monastery,96,27.014031,88.257713,walk
T001,1,Tiger Hill,Ghoom Monastery,97,27.014134,88.257678,walk
T001,1,Tiger Hill,Ghoom Monastery,98,27.014243,88.257689,walk
T001,1,Tiger Hill,Ghoom Monastery,99,27.014329,88.257713,walk
T001,1,Tiger Hill,Ghoom Monastery,100,27.014366,88.257755,walk
T001,1,Tiger Hill,Ghoom Monastery,101,27.014369,88.258038,walk
T001,1,Tiger Hill,Ghoom Monastery,102,27.014381,88.258124,walk
T001,1,Tiger Hill,Ghoom Monastery,103,27.014417,88.258195,walk
T001,1,Tiger Hill,Ghoom Monastery,104,27.014536,88.258257,walk
T001,1,Tiger Hill,Ghoom Monastery,105,27.01468,88.258289,walk
T001,1,Tiger Hill,Ghoom Monastery,106,27.014862,88.258296,walk
T001,1,Tiger Hill,Ghoom Monastery,107,27.014926,88.258318,walk
T001,1,Tiger Hill,Ghoom Monastery,108,27.015016,88.258373,walk
T001,1,Tiger Hill,Ghoom Monastery,109,27.015081,88.258369,walk
T001,1,Tiger Hill,Ghoom Monastery,110,27.01516,88.258328,walk
T001,1,Tiger Hill,Ghoom Monastery,111,27.015802,88.257978,walk
T001,1,Tiger Hill,Ghoom Monastery,112,27.015874,88.257943,walk
T001,1,Tiger Hill,Ghoom Monastery,113,27.015934,88.257983,walk
T001,1,Tiger Hill,Ghoom Monastery,114,27.015968,88.258146,walk
T001,1,Tiger Hill,Ghoom Monastery,115,27.015988,88.25835,walk
T001,1,Tiger Hill,Ghoom Monastery,116,27.016044,88.258509,walk
T001,1,Tiger Hill,Ghoom Monastery,117,27.01608,88.258567,walk
T001,1,Tiger Hill,Ghoom Monastery,118,27.016156,88.25859,walk
T001,1,Tiger Hill,Ghoom Monastery,119,27.016265,88.258587,walk
T001,1,Tiger Hill,Ghoom Monastery,120,27.01638,88.258554,walk
T001,1,Tiger Hill,Ghoom Monastery,121,27.016444,88.25849,walk
T001,1,Tiger Hill,Ghoom Monastery,122,27.016593,88.25843,walk
T001,1,Tiger Hill,Ghoom Monastery,123,27.016655,88.258306,walk
T001,1,Tiger Hill,Ghoom Monastery,124,27.016712,88.258296,walk
T001,1,Tiger Hill,Ghoom Monastery,125,27.016764,88.258344,walk
T001,1,Tiger Hill,Ghoom Monastery,126,27.016777,88.258438,walk
T001,1,Tiger Hill,Ghoom Monastery,127,27.016798,88.258559,walk
T001,1,Tiger Hill,Ghoom Monastery,128,27.016847,88.258629,walk
T001,1,Tiger Hill,Ghoom Monastery,129,27.017041,88.258727,walk
T001,1,Tiger Hill,Ghoom Monastery,130,27.017108,88.258805,walk
T001,1,Tiger Hill,Ghoom Monastery,131,27.017155,88.258911,walk
T001,1,Tiger Hill,Ghoom Monastery,132,27.017214,88.258955,walk
T001,1,Tiger Hill,Ghoom Monastery,133,27.017291,88.258992,walk
T001,1,Tiger Hill,Ghoom Monastery,134,27.017409,88.259016,walk
T001,1,Tiger Hill,Ghoom Monastery,135,27.017498,88.258993,walk
T001,1,Tiger Hill,Ghoom Monastery,136,27.017599,88.258888,walk
T001,1,Tiger Hill,Ghoom Monastery,137,27.017646,88.258847,walk
T001,1,Tiger Hill,Ghoom Monastery,138,27.017718,88.25884,walk
T001,1,Tiger Hill,Ghoom Monastery,139,27.017788,88.258861,walk
T001,1,Tiger Hill,Ghoom Monastery,140,27.017817,88.25891,walk
T001,1,Tiger Hill,Ghoom Monastery,141,27.017849,88.25907,walk
T001,1,Tiger Hill,Ghoom Monastery,142,27.017887,88.259127,walk
T001,1,Tiger Hill,Ghoom Monastery,143,27.017995,88.259156,walk
T001,1,Tiger Hill,Ghoom Monastery,144,27.018124,88.259165,walk
T001,1,Tiger Hill,Ghoom Monastery,145,27.01821,88.259134,walk
T001,1,Tiger Hill,Ghoom Monastery,146,27.018358,88.259085,walk
T001,1,Tiger Hill,Ghoom Monastery,147,27.018463,88.259084,walk
